[Log] | [Mon Nov 09 2020 15:11:22 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:12:46 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:12:54 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:12:54 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Error] | [Mon Nov 09 2020 15:16:30 GMT+0000 (Greenwich Mean Time)] | Invalid permissions - this is an owner only command, sorry.
[Log] | [Mon Nov 09 2020 15:17:34 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:17:40 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:17:40 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Error] | [Mon Nov 09 2020 15:18:47 GMT+0000 (Greenwich Mean Time)] | Cannot read property 'usage' of undefined
[Log] | [Mon Nov 09 2020 15:19:20 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:19:26 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:19:26 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Log] | [Mon Nov 09 2020 15:23:28 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:23:31 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:23:31 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Log] | [Mon Nov 09 2020 15:25:38 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:25:46 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:25:46 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Log] | [Mon Nov 09 2020 15:26:31 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:26:38 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:26:38 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Log] | [Mon Nov 09 2020 15:29:52 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:29:59 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:29:59 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Log] | [Mon Nov 09 2020 15:31:12 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:31:12 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:31:12 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Log] | [Mon Nov 09 2020 15:42:10 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:42:11 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:42:11 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Error] | [Mon Nov 09 2020 15:43:34 GMT+0000 (Greenwich Mean Time)] | Cannot read property 'default' of undefined
[Log] | [Mon Nov 09 2020 15:44:53 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:44:54 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:44:54 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Error] | [Mon Nov 09 2020 15:45:00 GMT+0000 (Greenwich Mean Time)] | messesage is not defined
[Log] | [Mon Nov 09 2020 15:46:18 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:46:19 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:46:19 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Error] | [Mon Nov 09 2020 15:46:26 GMT+0000 (Greenwich Mean Time)] | Cannot read property 'setVolume' of null
[Log] | [Mon Nov 09 2020 15:47:42 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:47:43 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:47:43 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Error] | [Mon Nov 09 2020 15:47:47 GMT+0000 (Greenwich Mean Time)] | Cannot read property 'setVolume' of null
[Log] | [Mon Nov 09 2020 15:48:26 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:48:26 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:48:26 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
[Error] | [Mon Nov 09 2020 15:48:32 GMT+0000 (Greenwich Mean Time)] | queue.songs.push is not a function
[Log] | [Mon Nov 09 2020 15:49:18 GMT+0000 (Greenwich Mean Time)] | Verbose enabled: false
[Log] | [Mon Nov 09 2020 15:49:18 GMT+0000 (Greenwich Mean Time)] | Marvin the Paranoid Android is charged up and online!
[Log] | [Mon Nov 09 2020 15:49:18 GMT+0000 (Greenwich Mean Time)] | I think you ought to know I'm feeling very depressed.
